Genero,Campesino,Estrato,Autoidentificacion_Etnica,NIvel_educacion,Discapacidad,Tipo_formacion,Victima_del_conflicto,Disponibilidad_Equipo,tiempo_segundos,Eje_tematico,Eje Final,Puntaje_eje_tematico_selecionado,linea_1_programacion,linea_2_inteligecia_artificial,linea_3_analisis_de_datos,linea_4_blockchain,linea_5_arquitectura_en_la_nube,linea_1_des_programacion,linea_2_des_inteligecia_artificial,linea_3_des_analisis_de_datos,linea_4_des_blockchain,linea_5_des_arquitectura_en_la_nube,area_1_alfabetizacion_datos,area_2_comunicacion_y_colaboracion,area_3_contenidos_digitales,area_4_seguridad,area_5_solucion_de_problemas,area_6_igles,area_1_des_alfabetizacion_datos,area_2_des_comunicacion_y_colaboracion,area_3_des_contenidos_digitales,area_4_des_seguridad,area_5_des_solucion_de_problemas,Matriculado (SI o NO),"Estado (FORMADO, NO APROBADO, INACTIVO, EN FORMACION)",Programa de Formación (Nombre del Curso),"Cohorte (1,2,3,4,5,6,7 o 8)","Tipo de formación (PRESENCIAL,VIRTUAL,HIBRIDO)",Nivel,Asistencia horas,Total_horas posibles,dia,mes,year
0.0,1,2,0,5,0,0,0,1,7180,5,3,37.4107,38.3929,51.25,58.75,37.4107,29.375,1,1,1,1,1,88,90,63,0,0,10,0,0,2,1,1,1,1,3,11,2,1,157,1,17,12,2023
1.0,0,1,0,2,0,0,0,1,6922,1,1,64.5536,51.7857,57.2321,64.5536,45.4464,34.5536,1,1,2,1,1,86,88,93,17,0,21,0,0,0,1,1,1,1,1,9,2,2,159,1,17,12,2023
0.0,0,3,0,4,0,0,0,1,5816,0,0,83.4821,83.4821,80.7143,81.9643,81.6071,79.375,0,0,0,0,2,91,88,101,93,83,28,0,0,0,0,0,1,1,5,0,2,3,159,1,18,12,2023
1.0,1,2,0,6,0,1,0,1,6830,1,1,37.5,10.9821,20.625,37.5,21.9643,18.75,1,1,1,1,1,87,36,0,0,0,5,0,1,1,1,1,1,1,1,9,1,1,159,1,17,12,2023
0.0,0,1,0,5,0,0,0,1,6801,0,0,54.1964,54.1964,60.1786,65.625,44.6429,34.2857,1,2,2,1,1,83,94,102,11,0,18,0,0,0,1,1,1,3,5,0,1,1,90,1,18,12,2023
0.0,0,2,0,5,0,0,0,1,6184,0,0,85.2679,85.2679,81.6964,83.3929,82.5,83.2143,0,0,0,0,0,94,85,101,93,93,28,0,0,0,0,0,1,1,5,9,2,2,159,1,18,12,2023
1.0,0,2,0,5,0,0,0,1,6439,0,0,81.6964,81.6964,80.5357,81.25,78.8393,81.25,0,0,0,2,0,92,87,95,84,94,34,0,0,0,0,0,1,1,5,0,2,3,159,1,18,12,2023
1.0,0,3,0,6,0,0,0,1,7166,1,1,86.4286,84.5536,82.6786,86.4286,85.1786,79.0179,0,0,0,0,2,101,94,103,97,73,23,0,0,0,0,2,1,1,1,0,1,2,159,1,18,12,2023
1.0,1,2,0,6,0,1,0,1,7060,5,3,36.7857,40.8929,50.5357,58.5714,36.7857,29.2857,1,1,1,1,1,86,84,72,0,0,10,0,0,2,1,1,1,3,3,0,1,1,81,1,16,12,2023
0.0,0,2,0,6,0,0,0,1,7107,4,4,45,62.6786,65,73.9286,64.1071,45,2,2,2,2,1,96,94,98,60,0,21,0,0,0,1,1,1,1,2,0,2,1,159,1,18,12,2023
1.0,0,1,0,5,0,0,0,1,6979,0,0,77.4107,77.4107,75.5357,79.4643,75.9821,71.9643,2,2,2,2,2,94,85,97,82,68,19,0,0,0,0,2,1,3,5,0,2,2,96,1,18,12,2023
0.0,0,2,0,5,0,1,0,1,7239,4,4,72.1429,76.6964,75.5357,78.9286,76.1607,72.1429,2,2,2,2,2,93,86,94,83,69,31,0,0,0,0,2,1,2,2,9,2,2,0,1,18,12,2023
1.0,0,3,0,6,0,0,0,1,6649,2,2,83.3929,83.0357,83.3929,84.375,80.8036,80,0,0,0,0,2,96,96,100,84,85,28,0,0,0,0,0,1,1,4,0,2,2,159,1,16,12,2023
1.0,0,4,0,7,2,1,0,1,7035,2,2,62.0536,61.6964,62.0536,70.625,62.7679,43.75,2,2,2,2,1,90,87,97,63,0,18,0,0,0,2,1,0,0,0,0,0,0,-1,0,18,12,2023
0.0,0,2,0,6,0,0,0,1,6838,4,4,31.7857,50.2679,55.2679,63.5714,39.2857,31.7857,1,1,2,1,1,87,84,98,0,0,10,0,0,0,1,1,1,1,2,9,2,1,159,1,17,12,2023
0.0,0,2,0,2,0,0,0,1,6903,0,0,29.1071,29.1071,46.3393,54.2857,35.0893,27.1429,1,1,1,1,1,89,89,37,0,0,13,0,0,1,1,1,1,1,5,0,2,1,159,1,18,12,2023
1.0,0,1,0,6,0,1,0,1,6854,1,1,83.75,82.2321,81.9643,83.75,80.5357,80.4464,0,0,0,0,0,97,92,97,85,87,34,0,0,0,0,0,1,1,1,10,1,2,159,1,18,12,2023
1.0,0,3,0,6,0,1,0,1,6148,0,0,79.2857,79.2857,81.1607,81.875,78.4821,77.4107,2,0,0,2,2,94,96,93,81,82,28,0,0,0,0,0,1,1,5,0,1,2,159,1,18,12,2023
1.0,0,2,0,7,0,1,0,1,7218,1,1,59.4643,41.6964,50.7143,59.4643,37.1429,29.7321,1,1,1,1,1,88,83,74,0,0,7,0,0,2,1,1,1,1,1,11,2,1,147,1,17,12,2023
0.0,1,2,0,2,0,0,1,1,914,1,1,30.5357,7.76786,8.57143,30.5357,15.5357,15.2679,1,1,1,1,1,84,3,0,0,0,2,0,1,1,1,1,1,1,1,0,2,1,157,1,18,12,2023
1.0,0,2,0,6,0,0,0,1,6815,4,4,49.6429,67.0536,65.8036,72.1429,73.0357,49.6429,2,2,2,2,1,85,90,96,92,4,20,0,0,0,0,1,1,1,2,0,2,1,159,1,17,12,2023
1.0,0,2,0,6,0,0,0,1,7299,2,2,84.6429,86.1607,84.6429,84.4643,83.2143,84.7321,0,0,0,0,0,93,92,101,91,97,28,0,0,0,0,0,1,1,4,0,2,3,156,1,16,12,2023
1.0,0,3,0,6,0,0,0,1,6012,5,3,80.3571,82.8571,81.3393,82.0536,80.3571,78.75,0,0,0,0,2,91,91,101,88,83,37,0,0,0,0,0,1,1,3,0,2,2,159,1,18,12,2023
1.0,0,2,0,6,0,0,0,1,6262,1,1,84.5536,84.0179,81.9643,84.5536,81.6071,81.25,0,0,0,0,0,98,89,101,88,87,34,0,0,0,0,0,1,1,1,0,2,3,159,1,17,12,2023
1.0,0,3,0,6,0,0,0,1,3807,2,2,77.8571,78.3929,77.8571,78.9286,76.1607,74.375,2,2,2,2,2,89,89,96,81,77,22,0,0,0,0,2,1,3,4,0,2,1,12,1,18,12,2023
1.0,0,2,0,6,0,0,0,1,6060,0,0,84.1071,84.1071,82.3214,82.6786,79.9107,79.9107,0,0,0,2,2,91,91,104,85,87,37,0,0,0,0,0,1,1,5,0,2,3,156,1,18,12,2023
1.0,0,3,0,6,0,0,0,1,6282,0,0,84.0179,84.0179,83.8393,83.8393,81.6964,83.5714,0,0,0,0,0,94,93,97,87,96,31,0,0,0,0,0,1,2,1,0,2,1,0,1,18,12,2023
1.0,0,3,0,6,0,1,0,1,7215,1,1,72.4107,64.0179,63.3036,72.4107,66.7857,45.9821,2,2,2,2,1,92,87,98,73,0,18,0,0,0,2,1,1,1,1,0,2,2,159,1,18,12,2023
0.0,0,3,0,6,0,0,0,1,6749,1,1,82.8571,86.3393,84.0179,82.8571,82.2321,83.3036,0,0,0,0,0,88,91,104,91,95,34,0,0,0,0,0,1,1,1,0,2,1,159,1,18,12,2023
1.0,0,3,0,5,0,0,0,1,4563,0,0,82.9464,82.9464,82.3214,82.9464,82.2321,78.4821,0,0,0,0,2,92,95,100,92,79,37,0,0,0,0,2,1,2,5,0,1,2,0,1,16,12,2023
1.0,0,3,0,2,0,1,0,1,6940,4,4,39.5536,59.375,62.1429,70,53.75,39.5536,1,2,2,1,1,90,91,104,34,0,21,0,0,0,1,1,1,2,2,0,1,1,0,1,18,12,2023
0.0,0,2,0,2,0,0,0,1,6882,0,0,83.9286,83.9286,83.2143,84.5536,83.2143,81.1607,0,0,0,0,0,96,94,99,92,85,31,0,0,0,0,0,1,1,5,0,1,1,159,1,16,12,2023
1.0,1,1,0,6,0,0,1,1,3961,0,0,82.8571,82.8571,78.6607,80.9821,80.8929,78.3929,0,2,0,0,2,91,83,101,94,81,34,0,0,0,0,0,1,1,5,0,2,3,129,1,16,12,2023
0.0,0,2,0,6,0,0,0,1,6770,0,0,82.7679,82.7679,82.6786,82.4107,81.9643,80.8929,0,0,0,0,0,91,94,96,91,88,22,0,0,0,0,0,1,1,5,0,2,1,159,1,18,12,2023
1.0,0,2,0,5,0,1,0,1,6775,4,4,41.25,59.5536,65.2679,72.8571,56.6071,41.25,1,2,2,1,1,95,100,100,36,0,18,0,0,0,1,1,1,3,2,0,1,1,65,1,16,12,2023
1.0,0,2,0,5,0,1,0,1,7035,1,1,73.75,66.4286,65.1786,73.75,73.0357,50.1786,2,2,2,2,1,92,88,94,90,4,17,0,0,0,0,1,1,1,1,9,1,2,159,1,16,12,2023
1.0,0,2,0,5,0,0,0,1,6940,1,1,84.1964,84.5536,81.5179,84.1964,81.4286,79.0179,0,0,0,0,2,96,89,106,89,80,37,0,0,0,0,2,1,1,4,0,2,1,156,1,18,12,2023
1.0,0,2,0,6,0,0,1,1,6691,1,1,84.9107,84.1964,83.8393,84.9107,83.3929,78.8393,0,0,0,0,2,95,98,103,92,77,29,0,0,0,0,2,1,1,1,0,2,1,159,1,17,12,2023
1.0,0,2,0,4,0,0,0,1,6236,0,0,85.4464,85.4464,85.1786,84.0179,82.5893,83.3036,0,0,0,0,0,91,96,101,89,94,31,0,0,0,0,0,1,1,5,0,2,3,159,1,18,12,2023
0.0,0,1,0,4,0,0,0,1,3386,0,0,84.5536,84.5536,80.9821,82.6786,81.875,79.7321,0,0,0,0,2,92,87,104,93,83,28,0,0,0,0,0,1,1,5,0,2,2,159,1,16,12,2023
1.0,0,2,0,5,0,0,0,1,6530,2,2,76.4286,77.7679,76.4286,77.5893,74.5536,73.125,2,2,2,2,2,87,86,97,79,76,23,0,0,0,2,2,1,1,4,0,2,2,153,1,17,12,2023
1.0,0,3,0,5,0,1,0,1,6888,0,0,51.1607,51.1607,57.8571,64.6429,40.4464,32.3214,1,1,2,1,1,86,91,99,0,0,11,0,0,0,1,1,1,2,5,9,1,1,0,1,18,12,2023
1.0,0,2,0,6,0,0,0,1,7050,1,1,80.9821,77.8571,75.3571,80.9821,79.2857,66.875,2,2,0,2,2,96,90,103,92,45,23,0,0,0,0,1,1,1,1,0,1,2,159,1,17,12,2023
0.0,0,2,0,4,0,0,0,1,1018,0,0,65.5357,65.5357,65.7143,67.0536,63.3036,64.2857,2,2,2,2,2,78,74,78,64,71,22,2,2,2,2,2,1,2,5,0,2,1,0,1,18,12,2023
1.0,1,3,0,4,0,0,0,1,1301,4,4,17.1429,9.375,14.1964,34.2857,18.75,17.1429,1,1,1,1,1,87,18,0,0,0,2,0,1,1,1,1,1,1,2,0,2,1,135,1,17,12,2023
1.0,1,3,0,5,0,0,0,1,4389,0,0,76.1607,76.1607,71.5179,75.7143,72.5,73.75,2,2,2,2,2,90,71,93,79,81,22,0,2,0,2,0,1,3,5,0,1,1,56,1,17,12,2023
0.0,0,2,0,6,0,1,0,1,4748,1,1,77.5893,76.3393,77.6786,77.5893,76.25,76.9643,2,2,2,2,2,88,89,85,82,87,19,0,0,0,0,0,1,1,1,0,2,1,159,1,18,12,2023
1.0,0,3,0,6,0,1,0,1,6318,4,4,72.8571,75.1786,74.2857,79.0179,75.4464,72.8571,2,2,2,2,2,97,83,89,81,72,22,0,0,0,0,2,1,1,2,11,2,1,159,1,17,12,2023
1.0,1,2,0,5,0,0,1,1,60,3,3,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,2,2,157,1,16,12,2023
1.0,0,3,0,5,0,0,0,1,5961,0,0,82.7679,82.7679,82.4107,82.2321,79.8214,78.125,0,0,0,2,2,90,95,102,85,82,34,0,0,0,0,0,1,3,5,0,2,3,54,1,16,12,2023
1.0,1,3,0,2,0,0,0,1,7163,0,0,83.3036,83.3036,82.0536,83.2143,82.6786,81.25,0,0,0,0,0,94,91,97,93,87,23,0,0,0,0,0,1,1,5,0,2,2,159,1,18,12,2023
